media_id,actor_id
403,46571
403,46572
403,46573
403,46574
403,46575
403,46576
403,46577
404,1484
404,1485
404,1486
404,1487
404,1488
405,1489
405,1490
405,1491
405,1492
405,1493
405,1494
406,1495
406,1496
406,1497
407,1498
407,1499
407,1500
408,1079
408,1501
408,1502
408,1503
408,1504
408,1505
408,1506
410,1507
410,1508
410,1509
410,1510
410,2100
410,33159
412,1306
412,1511
412,1512
412,1513
412,1514
412,1515
412,1516
412,1517
412,1518
412,1519
413,1520
413,1521
413,1522
413,1523
414,1524
414,1525
414,1526
414,1527
414,1528
414,1529
415,1363
415,1478
415,1530
415,1531
415,1532
415,1533
416,1534
416,1535
416,1536
416,1537
416,1538
416,1539
416,1540
416,1541
416,1542
416,1543
416,1544
416,1545
416,1546
416,1547
418,1548
418,1549
418,1550
418,1551
418,1552
418,1553
419,1554
419,1555
419,1556
419,1557
419,1558
419,1559
419,12517
420,1560
420,1561
420,1562
422,1563
422,1564
424,1565
424,1566
424,1567
424,1568
424,1569
424,1570
424,1571
424,1572
425,1573
425,1574
425,1575
425,1576
425,1577
426,1578
426,1579
426,1580
426,1581
426,1582
427,1583
427,1584
427,1585
427,1586
427,1587
427,1588
427,1589
427,1590
427,1591
427,1592
427,1593
427,1594
427,1595
427,1596
427,1597
427,1598
427,1599
427,4264
427,10268
427,32773
427,32774
427,32775
427,32776
428,1600
429,1548
429,1601
429,1602
430,1603
430,1604
430,1605
430,1606
430,1607
431,1608
431,1609
431,1610
431,1611
432,1612
432,1613
432,1614
433,1615
435,1000
435,1616
435,1617
435,1618
435,1619
435,1620
435,1621
436,1622
436,1623
437,1624
437,1625
437,1626
438,1627
438,1628
438,1629
438,1630
438,1631
439,1632
439,1633
439,1634
439,1635
439,1636
440,1637
440,1638
440,1639
440,1640
440,1641
440,1642
440,1643
440,1644
440,1645
440,1646
441,552
441,1647
441,1648
442,1649
442,1650
442,1651
442,1652
442,1653
442,1654
442,1655
442,1656
442,1657
442,1658
442,1659
442,1660
442,1661
442,1662
442,48597
443,463
443,1663
443,1664
443,1665
443,1666
443,1667
443,1668
443,1669
443,1670
443,1671
443,1672
443,1673
443,1674
443,1675
443,1676
443,1677
443,1678
443,1679
443,1680
443,1681
443,1682
443,1683
443,1684
443,1685
443,1686
443,1687
443,1688
443,1689
443,1690
443,1691
443,1692
443,1693
443,1694
443,1695
443,1696
443,1697
443,1698
443,1699
443,1700
443,1701
443,1702
443,1703
443,1704
443,1705
443,1706
443,1707
443,1708
443,1709
443,1710
443,1711
443,1712
443,1713
443,1714
443,1715
443,1716
444,1717
444,1718
444,1719
445,23
445,1720
445,1721
445,1722
445,1723
446,1724
446,1725
446,1726
446,1727
446,1728
446,1729
446,1730
447,1731
447,1732
447,1733
447,1734
448,1735
448,1736
449,1737
451,1738
451,1739
451,1740
451,1741
451,1742
452,1743
452,1744
452,1745
452,1746
453,1747
453,1748
453,1749
454,1750
455,1751
455,1752
455,1753
455,1754
455,1755
455,1756
456,763
456,1565
456,1757
457,190
457,415
457,1208
457,1553
457,1758
457,1759
457,1760
457,1761
457,1762
457,1763
457,1764
457,1765
457,1766
457,1767
458,1768
458,1769
458,1770
458,1771
458,1772
459,1096
459,1773
459,1774
459,1775
459,1776
460,1777
463,197
463,1778
463,1779
463,1780
463,1781
463,1782
463,1783
463,1784
463,1785
463,1786
464,1019
464,1183
464,1377
464,1787
464,1788
464,1789
464,1790
464,1791
464,1792
464,1793
464,1794
466,1795
466,1796
467,1797
467,1798
467,1799
467,1800
467,1801
467,1802
467,1803
468,1804
468,1805
468,1806
469,1807
469,1808
469,1809
469,1810
469,1811
469,1812
469,1813
469,1814
469,1815
469,1816
469,1817
469,1818
469,1819
469,1820
469,1821
469,1822
469,1823
469,1824
469,60693
471,1825
471,1826
471,1827
472,1464
472,1828
472,1829
474,1830
474,1831
475,1832
475,1833
475,1834
476,1835
476,1836
476,1837
478,1838
478,1839
478,1840
478,1841
478,1842
478,3007
479,1843
481,1844
481,1845
481,1846
482,1847
482,1848
482,1849
482,1850
485,1851
485,1852
487,1853
487,1854
489,1855
490,1856
490,1857
490,1858
490,1859
490,1860
490,1861
490,1862
491,1863
491,1864
491,1865
492,1866
492,1867
492,1868
492,1869
492,18987
